"";;"VALENTINI COMERCIO DE CALCADOS EIRELI LTDA";;;;;;"RELATÓRIO DE ESTOQUES POR GRADE";;;;;;;;;;;;;;"DATA:";"27/08/2014";;;
;;"89190-000  TAIO  SC";"";;;"SITUAÇÃO EM 27 DE AGOSTO DE 2014";;;;;;;;;;"PÁG.:";"1";
;;" Filiais: '1'";;;
"REFERÊNCIA/DESCRIÇÃO";;;;"";;;"UNIDADE";;"TAMANHOS";;;"";;;;;;;;;;;;;;;;"TOTALESTOQUE";"VALORFINANCEIRO";"CUSTOMÉDIO";;;;"";
"";;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FORNECEDOR: 62 - ADDER - J.CORREA";;;;;;;;;
"";;"XADRES/CRU";;;;;;;"1";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"6";"302,64";;"50,44";;;"";
"296582 - KOLOSH CO 603";;;;;;;;"PAR";"35";"36";"37";"38";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"FLAME";;;;;;;"1";"1";"2";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"298,05";;"59,61";;;"";
"294219 - KOLOSH FLY/ SWEET";;;;;;;;"PR";"33";"35";"36";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AZUL";;;;;;;"2";"2";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"5";"82,38";;"16,48";;;"";
"293351 - KOLOSH K7432";;;;;;;;"PR";"35";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BRANCO";;;;;;;"1";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"1";"45,82";;"45,82";;;"";
"296291 - KOLOSH K8121/ K9834";;;;;;;;"UN";"33";"36";"38";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"GRAFITE";;;;;;;"1";"6";"1";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"8";"546,06";;"68,26";;;"";
"296373 - KOLOSH LIVORNO C0225";;;;;;;;"UN";"33";"36";"37";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PESSEGO";;;;;;;"3";"1";"2";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"6";"562,10";;"93,68";;;"";
"296184 - KOLOSH LIVORNO/ ARES C0301";;;;;;;;"UN";"33";"34";"35";"36";"37";"38";"39";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"BEGE";;;;;;;"";"";"";"1";"2";"";"";;"";"";;"";"";"";;"";"";"";"";"3";"0,00";;"0,00";;;"";
"";;"PRETO";;;;;;;"8";"2";"1";"1";"1";"1";"1";;"";"";;"";"";"";;"";"";"";"";"15";"599,44";;"39,96";;;"";
"Total do Produto";;;"8";"2";"1";"2";"3";"1";"1";;"";"";;"";"";"";;"";"";"";"";"18";"599,44";;"33,30";;;
"293724 - KOLOSH LIVORNO/ RIGA";;;;;;;;"PR";"33";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PRETO";;;;;;;"2";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"125,58";;"62,79";;;"";
"296129 - KOLOSH TENIS FLOAT";;;;;;;;"UN";"36";"39";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"PRETO";;;;;;;"1";"1";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"2";"168,76";;"84,38";;;"";
"296128 - KOLOSH TENIS FLOWING";;;;;;;;"UN";"33";"35";"36";"37";"38";"39";"";;"";"";;"";"";"";;"";"";"";"";"";;;;;;;
"";;"AZUL";;;;;;;"";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"5";"0,00";;"0,00";;;"";
"";;"PRETO";;;;;;;"7";"";"";"";"";"";"";;"";"";;"";"";"";;"";"";"";"";"7";"393,26";;"56,18";;;"";
"Total do Produto";;;"7";"1";"1";"1";"1";"1";"";;"";"";;"";"";"";;"";"";"";"";"12";"393,26";;"32,77";;;
"";;;;;"Total Fornecedor";;;;"37";"25";"16";"12";"6";"3";"1";;"";"";;"";"";"";;"";"";"";"";"100";"5.254,86";;"52,55";;;"";
"FORNECEDOR: 633 - DAKOTA NORDESTE S/A";;;;;;;;;"";;;;;;;;;;;;;;;;;;;;;;;;;;
"296528 - DAKOTA B4639";;;;;;;;"PR";"35";"36";"37";"38";"";"";"";;"";"";;"";"";"";;"";"";"";"";
"";;"AMARELO";;;;;;;"1";"1";"1";"1";"";"";"";;"";"";;"";"";"";;"";"";"";"";"4";"251,44";;"62,86";;;"";
